id_transaccion,comercio,fecha,monto,categoria_comercio,edad_cliente,metodo_pago,es_fraude
L1-000105,LibreriaCentral,2025-04-25,58.71,educacion,28.0,tarjeta debito,0
L1-000106,TecnoCenter,2025-05-05,134.7,TECH,40.0,Tarjeta Debito,0
L1-000107,DeportesTotal,2025-04-23,118.48,hogar,25.0,EFE,0
L1-000108,SuperMax,2025-05-20,93.23,tecnologia,27.0,Tarjeta Credito,0
L1-000109,HogarFacil,2025-05-18,108.83,EDU,37.0,EFE,0
L1-000110,ModaViva,2025-05-19,184.29,AUTO,58.0,EFE,0
L1-000111,FarmaVida,2025-02-06,70.82,EDU,29.0,tarjeta debito,0
L1-000112,TiendaExpress,2025-04-30,107.34,retail,51.0,Efectivo,0
L1-000113,TecnoCenter,2025-02-01,80.83,Automotriz,39.0,TC,0
L1-000114,ModaViva,2025-04-12,49.75,farmacia,43.0,Efectivo,0
L1-000115,GourmetPlus,2025-05-09,102.1,RETAIL,34.0,Tarjeta Debito,0
L1-000116,TiendaExpress,2025-02-16,2964.68,Hogar,26.0,EFE,0
L1-000117,HogarFacil,2025-06-28,54.81,,55.0,transferencia,0
L1-000118,SuperMax,2025-03-07,139.23,educacion,40.0,TRANSF,0
L1-000119,GourmetPlus,2025-02-19,93.72,Educacion,43.0,tarjeta credito,0
L1-000120,ModaViva,2025-03-27,66.32,hogar,44.0,tarjeta credito,0
L1-000121,TecnoCenter,2025-01-28,164.52,Tecnologia,39.0,tarjeta debito,0
L1-000122,FarmaVida,2025-01-11,30.11,Farmacia,40.0,TD,0
L1-000123,HogarFacil,2025-05-18,162.71,Alimentos,27.0,transferencia,0
L1-000124,SuperMax,2025-04-27,114.06,tecnologia,32.0,EFE,0
L1-000125,FarmaVida,2025-04-27,25.88,Farmacia,48.0,Efectivo,0
L1-000126,FarmaVida,2025-03-24,171.77,AUTO,28.0,tarjeta credito,0
L1-000127,TiendaExpress,2025-06-17,58.3,tecnologia,40.0,TC,0
L1-000128,TecnoCenter,2025-02-14,15.47,Tecnologia,35.0,Transferencia,0
L1-000129,AutoRepuestos,2025-04-30,34.14,tecnologia,,tarjeta debito,0
L1-000130,DeportesTotal,2025-02-05,110.65,AUTO,22.0,Tarjeta Credito,0
L1-000131,DeportesTotal,2025-03-15,41.32,retail,25.0,TD,0
L1-000132,LibreriaCentral,2025-06-29,48.05,TECH,49.0,EFE,0
L1-000133,HogarFacil,2025-02-28,102.91,hogar,27.0,Tarjeta Credito,0
L1-000134,SuperMax,2025-05-09,65.21,Deportes,21.0,TD,0
L1-000135,TecnoCenter,2025-01-05,171.95,RETAIL,25.0,Tarjeta Credito,0
L1-000136,ModaViva,2025-02-06,54.02,moda,36.0,tarjeta debito,0
L1-000137,SuperMax,2025-02-04,38.05,Farmacia,,TD,0
L1-000138,TecnoCenter,2025-04-02,91.3,DEP,18.0,Transferencia,0
L1-000139,GourmetPlus,2025-02-27,58.86,Farmacia,43.0,efectivo,0
L1-000140,FarmaVida,2025-04-27,1.0,RETAIL,20.0,Transferencia,0
L1-000141,ModaViva,2025-06-19,80.76,Farmacia,48.0,Tarjeta Credito,0
L1-000142,SuperMax,2025-05-20,83.46,Farmacia,20.0,transferencia,0
L1-000143,TiendaExpress,2025-01-06,23.17,RETAIL,40.0,TD,0
L1-000144,DeportesTotal,2025-04-02,87.34,farmacia,41.0,TRANSF,0
L1-000145,ModaViva,2025-02-27,149.27,farmacia,58.0,Efectivo,0
L1-000146,GourmetPlus,2025-03-06,95.01,DEP,18.0,tarjeta debito,0
L1-000147,HogarFacil,2025-04-12,130.26,Tecnologia,38.0,transferencia,0
L1-000148,ModaViva,2025-05-21,55.38,RETAIL,31.0,Tarjeta Debito,0
L1-000149,TiendaExpress,2025-05-08,82.1,tecnologia,49.0,transferencia,0
L1-000150,DeportesTotal,2025-04-05,42.39,hogar,,tarjeta credito,0
L1-000151,ModaViva,2025-05-12,19.82,automotriz,48.0,efectivo,0
L1-000152,TecnoCenter,2025-03-14,204.66,educacion,21.0,TD,0
L1-000153,GourmetPlus,2025-03-25,136.11,RETAIL,21.0,tarjeta debito,0
L1-000154,TecnoCenter,2025-06-08,87.03,farmacia,45.0,Transferencia,0
L1-000155,GourmetPlus,2025-05-02,112.36,Alimentos,32.0,Tarjeta Credito,0
L1-000156,GourmetPlus,2025-01-23,122.76,moda,30.0,tarjeta credito,0
L1-000157,FarmaVida,2025-03-06,23.93,Deportes,26.0,Efectivo,0
L1-000158,DeportesTotal,2025-04-29,118.69,EDU,36.0,EFE,0
L1-000159,SuperMax,2025-04-27,37.86,Hogar,,EFE,0
L1-000160,FarmaVida,2025-01-13,141.79,HOG,18.0,Tarjeta Credito,0
L1-000161,LibreriaCentral,2025-01-24,112.51,Farmacia,28.0,tarjeta credito,0
L1-000162,ModaViva,2025-06-05,103.33,ALIM,44.0,Transferencia,0
L1-000163,TecnoCenter,2025-02-21,176.26,deportes,32.0,Transferencia,0
L1-000164,TecnoCenter,2025-01-23,53.54,ALIM,55.0,TRANSF,0
L1-000165,DeportesTotal,2025-03-23,36.13,AUTO,49.0,tarjeta debito,1
L1-000166,LibreriaCentral,2025-06-29,113.05,Farmacia,25.0,efectivo,0
L1-000167,DeportesTotal,2025-04-09,78.82,Deportes,52.0,tarjeta credito,0
L1-000168,AutoRepuestos,2025-03-22,151.95,deportes,39.0,EFE,0
L1-000169,HogarFacil,2025-06-01,66.2,DEP,31.0,tarjeta debito,0
L1-000170,FarmaVida,2025-06-28,43.13,farmacia,40.0,TD,0
L1-000171,DeportesTotal,2025-01-22,108.66,HOG,38.0,TRANSF,0
L1-000172,LibreriaCentral,2025-02-04,3153.45,alimentos,39.0,TC,0
L1-000173,TiendaExpress,2025-01-16,62.48,Deportes,53.0,tarjeta debito,0
L1-000174,GourmetPlus,2025-02-16,139.55,moda,33.0,efectivo,0
L1-000175,GourmetPlus,2025-05-14,39.56,deportes,38.0,Transferencia,0
L1-000176,DeportesTotal,2025-06-29,71.96,AUTO,,TRANSF,0
L1-000177,FarmaVida,2025-04-18,37.06,educacion,25.0,Efectivo,0
L1-000178,HogarFacil,2025-03-30,48.17,HOG,39.0,transferencia,0
L1-000179,GourmetPlus,2025-04-04,33.71,DEP,,Transferencia,0
L1-000180,SuperMax,2025-03-07,28.92,Retail,43.0,Tarjeta Credito,0
L1-000181,LibreriaCentral,2025-01-28,122.43,moda,63.0,Tarjeta Debito,0
L1-000182,TiendaExpress,2025-05-29,99.03,Moda,57.0,TD,0
L1-000183,ModaViva,2025-06-02,119.73,deportes,29.0,efectivo,0
L1-000184,SuperMax,2025-02-20,73.14,Automotriz,38.0,TD,0
L1-000185,DeportesTotal,2025-02-19,125.49,retail,,TD,0
L1-000186,SuperMax,2025-05-28,122.66,educacion,55.0,TRANSF,0
L1-000187,FarmaVida,2025-05-16,131.24,Hogar,56.0,TD,0
L1-000188,FarmaVida,2025-06-17,104.92,FARM,54.0,TD,0
L1-000189,ModaViva,2025-01-30,123.6,HOG,,tarjeta debito,0
L1-000190,AutoRepuestos,2025-02-08,40.41,Moda,25.0,tarjeta credito,0
L1-000191,TecnoCenter,2025-05-31,,DEP,26.0,tarjeta debito,0
L1-000192,LibreriaCentral,2025-01-19,89.97,automotriz,37.0,EFE,0
L1-000193,FarmaVida,2025-04-10,20.1,alimentos,29.0,EFE,0
L1-000194,LibreriaCentral,2025-03-15,34.1,hogar,21.0,TD,0
L1-000195,LibreriaCentral,2025-03-15,,moda,53.0,tarjeta credito,0
L1-000196,SuperMax,2025-04-22,113.56,Deportes,18.0,tarjeta credito,0
L1-000197,LibreriaCentral,2025-02-26,62.87,automotriz,26.0,tarjeta debito,0
L1-000198,TiendaExpress,2025-01-23,65.4,Alimentos,24.0,TC,0
L1-000199,GourmetPlus,2025-05-04,,Moda,42.0,TRANSF,0
L1-000200,HogarFacil,2025-06-28,131.52,MODA,18.0,tarjeta credito,1
L1-000201,DeportesTotal,2025-03-10,31.14,automotriz,22.0,TD,1
L1-000202,HogarFacil,2025-06-02,87.03,Tecnologia,29.0,Tarjeta Debito,0
L1-000203,GourmetPlus,2025-05-26,85.45,RETAIL,,efectivo,0
L1-000204,GourmetPlus,2025-03-23,58.31,Farmacia,52.0,tarjeta debito,0
L1-000205,HogarFacil,2025-01-12,131.45,Tecnologia,31.0,tarjeta debito,0
L1-000206,AutoRepuestos,2025-01-28,60.87,RETAIL,27.0,tarjeta credito,0
L1-000207,TiendaExpress,2025-04-01,136.19,alimentos,27.0,TRANSF,0
L1-000208,DeportesTotal,2025-05-09,28.21,educacion,21.0,tarjeta debito,0
L1-000209,LibreriaCentral,2025-06-25,64.63,Farmacia,,tarjeta debito,0
L1-000210,GourmetPlus,2025-04-16,154.28,Retail,28.0,Efectivo,0
L1-000211,LibreriaCentral,2025-01-14,10.58,educacion,28.0,TC,0
L1-000212,TiendaExpress,2025-01-24,45.63,RETAIL,34.0,,0
L1-000213,FarmaVida,2025-01-24,100.59,EDU,48.0,TRANSF,0
L1-000214,SuperMax,2025-03-29,48.78,Moda,38.0,tarjeta credito,0
L1-000215,TecnoCenter,2025-04-05,121.36,EDU,46.0,Tarjeta Credito,0
L1-000216,GourmetPlus,2025-03-28,3.52,HOG,40.0,EFE,0
L1-000217,AutoRepuestos,2025-02-26,112.72,Tecnologia,51.0,Tarjeta Debito,0
L1-000218,DeportesTotal,2025-01-22,73.23,RETAIL,59.0,tarjeta debito,0
L1-000219,TiendaExpress,2025-05-29,63.75,HOG,49.0,tarjeta debito,1
L1-000220,ModaViva,2025-02-22,134.39,AUTO,26.0,TC,0
L1-000221,TecnoCenter,2025-06-28,93.53,FARM,41.0,transferencia,0
L1-000222,TiendaExpress,2025-06-03,15.19,automotriz,54.0,Tarjeta Debito,0
L1-000223,TecnoCenter,2025-02-05,108.26,FARM,51.0,Transferencia,0
L1-000224,DeportesTotal,2025-06-25,64.26,EDU,34.0,TC,0
L1-000225,ModaViva,2025-05-31,47.04,MODA,40.0,TRANSF,0
L1-000226,SuperMax,2025-06-10,67.15,deportes,46.0,efectivo,0
L1-000227,ModaViva,2025-05-04,140.35,EDU,25.0,efectivo,0
L1-000228,DeportesTotal,2025-04-12,81.12,Deportes,43.0,Transferencia,0
L1-000229,AutoRepuestos,2025-03-26,112.18,Tecnologia,35.0,tarjeta credito,0
L1-000230,ModaViva,2025-04-08,,,27.0,tarjeta debito,0
L1-000231,TecnoCenter,2025-05-13,126.34,EDU,25.0,tarjeta credito,0
L1-000232,GourmetPlus,2025-05-08,130.18,HOG,48.0,tarjeta credito,0
L1-000233,DeportesTotal,2025-04-02,78.71,EDU,56.0,tarjeta debito,0
L1-000234,GourmetPlus,2025-03-20,97.64,retail,50.0,efectivo,0
L1-000235,FarmaVida,2025-06-01,56.41,farmacia,,TRANSF,0
L1-000236,AutoRepuestos,2025-02-28,76.74,ALIM,35.0,Efectivo,0
L1-000237,LibreriaCentral,2025-04-09,126.16,retail,33.0,Tarjeta Credito,0
L1-000238,DeportesTotal,2025-01-16,28.41,Farmacia,44.0,tarjeta credito,0
L1-000239,GourmetPlus,2025-04-29,,moda,46.0,Tarjeta Credito,0
L1-000240,FarmaVida,2025-02-14,65.2,HOG,52.0,TC,0
L1-000241,AutoRepuestos,2025-05-09,122.39,moda,54.0,Tarjeta Debito,0
L1-000242,TiendaExpress,2025-05-25,84.19,alimentos,23.0,Tarjeta Debito,0
L1-000243,TecnoCenter,2025-01-03,2946.22,MODA,37.0,EFE,0
L1-000244,ModaViva,2025-01-05,63.38,EDU,,Tarjeta Credito,0
L1-000245,FarmaVida,2025-03-01,60.66,ALIM,36.0,efectivo,0
L1-000246,TiendaExpress,2025-05-18,112.29,Deportes,53.0,transferencia,0
L1-000247,DeportesTotal,2025-01-21,129.22,hogar,,TRANSF,0
L1-000248,DeportesTotal,2025-05-05,129.58,FARM,40.0,Efectivo,0
L1-000249,TiendaExpress,2025-06-09,36.3,Farmacia,53.0,transferencia,0
L1-000250,LibreriaCentral,2025-05-13,142.26,HOG,58.0,TRANSF,0
L1-000251,GourmetPlus,2025-01-07,135.93,automotriz,52.0,TRANSF,0
L1-000252,TecnoCenter,2025-06-25,105.67,AUTO,28.0,TD,0
L1-000253,AutoRepuestos,2025-04-14,104.47,Deportes,63.0,Transferencia,0
L1-000254,FarmaVida,2025-03-15,158.82,AUTO,49.0,Transferencia,0
L1-000255,GourmetPlus,2025-04-02,76.6,Farmacia,40.0,Transferencia,0
L1-000256,TiendaExpress,2025-05-22,101.13,hogar,28.0,TRANSF,0
L1-000257,TiendaExpress,2025-06-03,110.31,FARM,41.0,Efectivo,0
L1-000258,SuperMax,2025-03-04,111.51,moda,43.0,Tarjeta Debito,0
L1-000259,TecnoCenter,2025-04-03,94.69,DEP,36.0,tarjeta credito,0
L1-000260,TiendaExpress,2025-04-22,109.83,,30.0,TRANSF,0
L1-000261,GourmetPlus,2025-06-02,135.82,farmacia,37.0,tarjeta credito,0
L1-000262,ModaViva,2025-06-06,124.02,AUTO,37.0,Tarjeta Debito,0
L1-000263,SuperMax,2025-04-22,71.36,Educacion,35.0,TC,0
L1-000264,LibreriaCentral,2025-06-18,74.35,Tecnologia,50.0,Tarjeta Credito,0
L1-000265,LibreriaCentral,2025-06-22,,deportes,36.0,Tarjeta Credito,0
L1-000266,DeportesTotal,2025-05-12,106.68,educacion,44.0,tarjeta credito,0
L1-000267,DeportesTotal,2025-06-29,96.49,farmacia,41.0,tarjeta credito,0
L1-000268,GourmetPlus,2025-01-27,63.0,AUTO,,Tarjeta Debito,0
L1-000269,DeportesTotal,2025-02-28,81.5,HOG,27.0,TRANSF,0
L1-000270,HogarFacil,2025-05-18,113.54,alimentos,,TRANSF,0
L1-000271,GourmetPlus,2025-06-17,125.85,Hogar,47.0,TC,0
L1-000272,GourmetPlus,2025-04-30,105.9,retail,34.0,Efectivo,0
L1-000273,TecnoCenter,2025-03-13,137.98,alimentos,55.0,tarjeta credito,0
L1-000274,TiendaExpress,2025-01-08,57.74,deportes,43.0,Transferencia,0
L1-000275,ModaViva,2025-01-10,134.69,Farmacia,18.0,Transferencia,0
L1-000276,GourmetPlus,2025-04-02,1.0,Farmacia,31.0,TD,0
L1-000277,HogarFacil,2025-05-08,127.66,hogar,47.0,tarjeta credito,0
L1-000278,TiendaExpress,2025-06-07,91.76,,60.0,efectivo,0
L1-000279,FarmaVida,2025-01-14,8.94,moda,34.0,Transferencia,0
L1-000280,LibreriaCentral,2025-06-16,106.22,ALIM,29.0,TC,0
L1-000281,ModaViva,2025-04-29,162.98,Moda,28.0,Transferencia,0
L1-000282,DeportesTotal,2025-01-13,119.53,HOG,49.0,TC,0
L1-000283,GourmetPlus,2025-04-21,2575.58,moda,35.0,TC,0
L1-000284,TecnoCenter,2025-04-04,131.77,automotriz,44.0,Tarjeta Credito,0
L1-000285,TiendaExpress,2025-06-21,30.82,EDU,,TRANSF,0
L1-000286,AutoRepuestos,2025-06-14,72.32,Alimentos,28.0,TRANSF,0
L1-000287,TecnoCenter,2025-02-15,75.6,Moda,37.0,efectivo,0
L1-000288,GourmetPlus,2025-01-22,64.65,moda,,,0
L1-000289,LibreriaCentral,2025-05-23,52.01,educacion,20.0,TRANSF,0
L1-000290,GourmetPlus,2025-02-24,104.91,retail,22.0,TD,0
L1-000291,AutoRepuestos,2025-02-07,1.0,farmacia,45.0,Efectivo,0
L1-000292,LibreriaCentral,2025-06-03,13.53,Automotriz,30.0,efectivo,0
L1-000293,ModaViva,2025-03-16,,Moda,40.0,Tarjeta Credito,0
L1-000294,AutoRepuestos,2025-02-08,128.56,automotriz,25.0,tarjeta credito,0
L1-000295,ModaViva,2025-06-20,48.39,Educacion,46.0,Tarjeta Credito,0
L1-000296,GourmetPlus,2025-03-22,102.12,TECH,34.0,TC,0
L1-000297,LibreriaCentral,2025-05-27,95.52,alimentos,39.0,tarjeta debito,0
L1-000298,DeportesTotal,2025-03-29,79.34,automotriz,42.0,tarjeta debito,0
L1-000299,TiendaExpress,2025-06-14,118.97,Alimentos,31.0,Efectivo,0
L1-000300,DeportesTotal,2025-01-08,28.36,TECH,28.0,EFE,0
L1-000301,ModaViva,2025-06-30,75.26,ALIM,27.0,EFE,0
L1-000302,TiendaExpress,2025-04-18,39.14,Educacion,55.0,TC,0
L1-000303,TecnoCenter,2025-02-08,143.08,TECH,47.0,tarjeta credito,0
L1-000304,DeportesTotal,2025-03-05,1.64,hogar,43.0,Tarjeta Debito,0
L1-000305,SuperMax,2025-05-28,81.74,Educacion,35.0,TRANSF,0
L1-000306,SuperMax,2025-01-23,84.21,MODA,,Transferencia,0
L1-000307,TiendaExpress,2025-04-26,44.21,alimentos,31.0,TC,0
L1-000308,HogarFacil,2025-05-30,71.05,Deportes,43.0,EFE,1
L1-000309,DeportesTotal,2025-06-16,144.78,Educacion,37.0,Transferencia,0
L1-000310,LibreriaCentral,2025-04-27,84.6,Deportes,47.0,efectivo,0
L1-000311,GourmetPlus,2025-05-03,86.92,Alimentos,42.0,transferencia,0
L1-000312,FarmaVida,2025-02-06,1.0,educacion,40.0,TD,0
L1-000313,HogarFacil,2025-02-25,164.32,farmacia,37.0,tarjeta debito,0
L1-000314,ModaViva,2025-03-16,24.12,farmacia,87.0,tarjeta credito,0
L1-000315,HogarFacil,2025-05-30,115.47,Hogar,19.0,Tarjeta Credito,0
L1-000316,HogarFacil,2025-05-31,132.54,,37.0,TRANSF,0
L1-000317,TiendaExpress,2025-01-31,64.68,tecnologia,33.0,tarjeta debito,0
L1-000318,LibreriaCentral,2025-06-13,21.41,moda,,tarjeta debito,0
L1-000319,LibreriaCentral,2025-04-24,71.78,deportes,24.0,tarjeta credito,0
L1-000320,AutoRepuestos,2025-04-13,77.84,deportes,36.0,TC,0
L1-000321,ModaViva,2025-01-21,79.35,educacion,,Tarjeta Debito,0
L1-000322,FarmaVida,2025-06-02,118.58,TECH,,Tarjeta Credito,0
L1-000323,HogarFacil,2025-06-08,30.8,Farmacia,54.0,efectivo,0
L1-000324,DeportesTotal,2025-02-24,116.1,Educacion,40.0,tarjeta credito,0
L1-000325,FarmaVida,2025-04-03,124.56,deportes,21.0,tarjeta debito,0
L1-000326,TiendaExpress,2025-06-02,43.83,,63.0,Efectivo,0
L1-000327,AutoRepuestos,2025-05-27,23.95,Alimentos,48.0,Transferencia,0
L1-000328,AutoRepuestos,2025-04-10,162.44,educacion,,Tarjeta Credito,0
L1-000329,TecnoCenter,2025-05-30,62.55,hogar,39.0,TD,0
L1-000330,GourmetPlus,2025-01-12,1.0,Hogar,21.0,EFE,0
L1-000331,FarmaVida,2025-04-11,137.04,automotriz,39.0,Tarjeta Credito,0
L1-000332,DeportesTotal,2025-02-10,154.93,Automotriz,42.0,Transferencia,0
L1-000333,TecnoCenter,2025-04-14,110.03,RETAIL,45.0,efectivo,0
L1-000334,LibreriaCentral,2025-01-28,116.81,moda,,transferencia,0
L1-000335,TecnoCenter,2025-03-02,120.97,moda,59.0,tarjeta debito,0
L1-000336,TiendaExpress,2025-04-07,43.62,MODA,36.0,Efectivo,0
