id_estudiante,curso,fecha_inscripcion,horas_estudio,porcentaje_avance,calificacion_final,pais,dispositivo
EST00153,Visualización de Datos,11/09/2025,15.2,89.3%,2.99,ecuador,Computador
EST00914,Python para Datos,2025-07-29,12.0,33.8%,6.9,ECU,Movil
EST00231,Estadística Aplicada,06/18/2025,25.4,85.0%,7.15,Colombia,MOVIL
EST00419,SQL Fundamentals,11/13/2025,22.2,88.3%,8.39,MEX,Movil
EST00583,SQL Fundamentals,22-06-2025,9.1,50.8%,7.85,Mexico,Tablet
EST00268,Python para Datos,21-08-2025,10.7,74.2%,8.48,ecuador,tablet
EST00021,Excel Avanzado,10-04-2025,16.4,36.1%,,MEX,movil
EST00743,Python para Datos,22-01-2025,11.8,72.5%,8.3,COLOMBIA,Movil
EST00169,SQL Fundamentals,2025-04-07,20.9,93.7%,7.79,PER,Movil
EST00058,Estadística Aplicada,2025-03-27,22.8,99.6%,8.77,Colombia,Movil
EST00457,Estadística Aplicada,18/04/2025,22.4,70.0%,8.51,México,computador
EST00528,SQL Fundamentals,05/12/2025,,57.1%,6.5,ECUADOR,MOVIL
EST00168,Visualización de Datos,21-05-2025,8.5,72.9%,7.83,Ecuador,tablet
EST00137,Python para Datos,10/25/2025,5.3,85.0%,8.78,,Movil
EST00223,Estadística Aplicada,11/05/2025,0.5,28.8%,3.63,ECU,Computador
EST00510,Excel Avanzado,2025-08-15,11.5,94.6%,6.84,ECUADOR,MOVIL
EST00302,SQL Fundamentals,2025-09-30,22.0,51.1%,6.24,ECU,computador
EST00318,Visualización de Datos,18/08/2025,20.5,61.2%,5.77,Ecuador,tablet
EST00633,Visualización de Datos,17-08-2025,19.3,48.1%,7.35,Ecuador,Movil
EST00650,Visualización de Datos,29-11-2025,11.1,86.0%,5.86,ECUADOR,Computador
EST00293,Machine Learning Básico,01/27/2025,8.6,87.7%,8.9,Colombia,Computador
EST00779,SQL Fundamentals,2025-12-12,23.8,,7.72,colombia,MOVIL
EST00173,SQL Fundamentals,15-02-2025,8.1,83.8%,8.3,MEX,tablet
EST00178,Visualización de Datos,15/04/2025,14.8,59.9%,5.89, peru,MOVIL
EST00114,Estadística Aplicada,,7.3,69.8%,6.08,ECUADOR,movil
EST00130,Visualización de Datos,16/12/2025,13.8,60.1%,5.45,colombia,Tablet
EST00680,SQL Fundamentals,10/28/2025,18.6,59.4%,7.71,peru,movil
EST00442,Visualización de Datos,18/04/2025,18.7,27.8%,,peru,movil
EST00543,Estadística Aplicada,2025-08-08,23.5,100%,6.95,,MOVIL
EST00906,Visualización de Datos,18-03-2025,14.0,92.7%,7.53,ECUADOR,
EST00492,Excel Avanzado,01/13/2025,7.3,63.7%,6.45, Ecuador,Computador
EST00288,Machine Learning Básico,2025-04-11,13.7,64.7%,4.82,Mexico,MOVIL
EST00408,Estadística Aplicada,01/08/2025,7.3,46.5%,,CHI,movil
EST00994,Excel Avanzado,06/15/2025,14.8,52.5%,5.97,colombia,computador
EST00597,Visualización de Datos,09/10/2025,11.1,47.5%,6.49,México,movil
EST00397,SQL Fundamentals,02/01/2025,8.5,40.7%,7.5,ECUADOR,Computador
EST00816,Python para Datos,01/01/2025,17.4,100%,6.07,ECU,Computador
EST00854,Machine Learning Básico,20-03-2025,15.4,,4.57,Mexico,Computador
EST00898,Estadística Aplicada,13/03/2025,12.3,,7.04,Colombia,Tablet
EST00317,Estadística Aplicada,14-01-2025,14.5,60.7%,4.84,COLOMBIA,computador
EST00804,Python para Datos,2025-04-12,18.7,96.9%,7.27,ECUADOR,computador
EST00127,Machine Learning Básico,2025-04-04,12.0,55.4%,,colombia,movil
EST00748,Estadística Aplicada,09/15/2025,20.2,57.6%,8.54, Ecuador,computador
EST00475,Excel Avanzado,2025-11-05,22.4,26.7%,8.56,ECU,Computador
EST00144,SQL Fundamentals,26/04/2025,17.4,38.9%,6.92,Colombia,Movil
EST00087,SQL Fundamentals,08/20/2025,12.2,100%,8.66,colombia,computador
EST00848,Estadística Aplicada,2025-09-29,,54.2%,8.18,colombia,MOVIL
EST00901,Visualización de Datos,2025-11-06,,70.6%,8.46,Colombia,Computador
EST00246,Visualización de Datos,22-10-2025,,73.8%,6.21,México,Movil
EST00075,Excel Avanzado,2025-02-08,13.9,81.4%,6.41,PER,computador
EST00647,Visualización de Datos,2025-02-22,5.8,96.2%,6.72,ECUADOR,movil
EST00684,SQL Fundamentals,27-12-2025,10.6,100%,6.44, Ecuador,Computador
EST00976,Estadística Aplicada,07/15/2025,18.4,73.0%,7.46,COLOMBIA,Movil
EST00047,SQL Fundamentals,2025-06-15,8.0,71.8%,9.59,PER,movil
EST00845,Python para Datos,2025-10-09,8.2,67.0%,9.99,México,Computador
EST00571,Estadística Aplicada,03/05/2025,19.5,61.9%,5.76,,Computador
EST00755,Excel Avanzado,01/02/2025,11.1,45.0%,7.54,chile,computador
EST00428,Excel Avanzado,05/05/2025,239.3,45.6%,6.74,ECU,MOVIL
EST00678,Machine Learning Básico,2025-04-12,,43.8%,5.16,Peru,movil
EST00554,Python para Datos,17-02-2025,17.4,61.6%,7.02,Ecuador,Computador
EST00672,Machine Learning Básico,31/07/2025,16.9,33.4%,7.01,ECUADOR,MOVIL
EST00667,Excel Avanzado,2025-09-23,,91.7%,7.36,chile,computador
EST00263,Visualización de Datos,08/03/2025,16.4,56.2%,2.57,ECUADOR,tablet
EST00631,Python para Datos,05/08/2025,15.4,87.1%,6.51,CHILE,Movil
EST00715,Python para Datos,27-01-2025,16.9,78.3%,22.0,COLOMBIA,Computador
EST00477,Machine Learning Básico,2025-11-03,13.8,38.4%,4.5,COLOMBIA,MOVIL
EST00217,Python para Datos,10/28/2025,20.1,77.7%,6.98,peru,MOVIL
EST00589,Python para Datos,04/11/2025,8.8,74.3%,5.02,ECU,computador
EST00802,Estadística Aplicada,30-06-2025,5.9,55.6%,5.01,CHILE,Computador
EST00155,Python para Datos,2025-07-27,23.6,58.3%,9.86,colombia,movil
EST00639,Python para Datos,2025-01-06,19.4,66.8%,6.64,Peru,Tablet
EST00378,Python para Datos,07-05-2025,18.2,,4.89, Ecuador,Computador
EST00963,SQL Fundamentals,11/25/2025,7.6,69.8%,7.78,Ecuador,computador
EST00439,Python para Datos,28-05-2025,10.8,76.5%,5.7,peru,Tablet
EST00902,Visualización de Datos,03/05/2025,16.1,36.7%,8.68, Ecuador,MOVIL
EST00390,Estadística Aplicada,03/01/2025,16.9,58.0%,7.37,Mexico,Tablet
EST00309,SQL Fundamentals,14/06/2025,11.8,62.2%,8.31,México,movil
EST00876,SQL Fundamentals,,15.2,,5.72,Mexico,MOVIL
EST00225,SQL Fundamentals,07-11-2025,18.1,53.5%,7.84,peru,Movil
EST00508,Visualización de Datos,11/08/2025,12.2,44.8%,9.26,ECU,computador
EST00485,Estadística Aplicada,21-11-2025,3.6,48.5%,6.97,Mexico,computador
EST00110,Estadística Aplicada,21/07/2025,5.1,56.5%,6.22,colombia,MOVIL
EST00289,SQL Fundamentals,09/04/2025,21.2,71.9%,8.78,mexico,Computador
EST00607,Excel Avanzado,08-12-2025,18.9,67.8%,,peru,MOVIL
EST00254,Python para Datos,24-11-2025,4.5,90.0%,5.37,ECU,tablet
EST00214,SQL Fundamentals,01/03/2025,9.8,100%,6.38, Ecuador,computador
EST00496,Visualización de Datos,26/02/2025,14.6,62.2%,7.1,ecuador,MOVIL
EST00452,Python para Datos,12/17/2025,18.5,65.7%,3.95,ECUADOR,tablet
EST00108,SQL Fundamentals,14/08/2025,13.2,79.3%,10.0,COL,Movil
EST00724,Excel Avanzado,23-05-2025,14.7,50.5%,10.58,colombia,movil
EST00063,Visualización de Datos,,15.2,51.6%,7.47,ECUADOR,Movil
EST00767,SQL Fundamentals,05/10/2025,29.1,72.7%,7.6,Chile,computador
EST00154,Machine Learning Básico,12-12-2025,8.2,49.9%,5.66,México,movil
EST00924,Python para Datos,23/04/2025,2.2,83.1%,5.43,Ecuador,Computador
EST00064,Machine Learning Básico,03/01/2025,1.3,66.4%,7.62,Perú,Movil
EST00101,Machine Learning Básico,07/11/2025,13.9,61.8%,7.31,colombia,movil
EST00209,Estadística Aplicada,07/16/2025,15.2,65.1%,9.58,Ecuador,MOVIL
EST00494,Estadística Aplicada,12-08-2025,8.3,88.7%,7.32,Ecuador,movil
EST00049,Estadística Aplicada,22/02/2025,,69.6%,6.17,ecuador,Computador
EST00545,Python para Datos,20/08/2025,6.9,62.5%,6.08,ecuador,computador
EST00764,Estadística Aplicada,12-04-2025,,86.2%,7.91,Perú,Computador
EST00270,Machine Learning Básico,26-09-2025,14.9,61.2%,,Ecuador,tablet
EST00669,Excel Avanzado,01-04-2025,23.5,92.3%,7.08,México,Computador
EST00003,Python para Datos,08/03/2025,15.4,74.4%,5.71,,Computador
EST00273,Estadística Aplicada,20-10-2025,16.1,64.5%,6.07,México,MOVIL
EST00881,Machine Learning Básico,06-11-2025,26.9,53.6%,6.9,MEX,Tablet
EST00645,Machine Learning Básico,09/05/2025,14.6,78.1%,15.0,ECUADOR,MOVIL
EST00619,Visualización de Datos,27-02-2025,13.3,59.4%,,Ecuador,movil
EST00910,Machine Learning Básico,08/07/2025,12.5,58.3%,7.51,PER,movil
EST00674,Excel Avanzado,25-02-2025,6.8,44.1%,7.92,Peru,tablet
EST00878,Estadística Aplicada,16/11/2025,4.6,79.7%,6.86, Ecuador,Tablet
EST00295,SQL Fundamentals,16/07/2025,16.7,64.1%,7.12, Ecuador,MOVIL
EST00799,Machine Learning Básico,2025-03-18,17.1,57.6%,6.11,ECU,tablet
EST00482,Machine Learning Básico,2025-03-27,22.2,60.7%,8.0,CHILE,Tablet
EST00220,Estadística Aplicada,04/20/2025,23.9,38.5%,6.27,Perú,
EST00375,SQL Fundamentals,2025-11-07,7.7,100%,7.55,Mexico,computador
EST00701,Python para Datos,17/11/2025,14.6,58.4%,6.62, Ecuador,MOVIL
EST00085,SQL Fundamentals,09-12-2025,15.4,86.5%,5.73, Ecuador,Movil
EST00278,Excel Avanzado,2025-02-17,10.7,,4.1,chile,computador
EST00947,Machine Learning Básico,24-05-2025,14.4,45.9%,10.09,colombia,MOVIL
EST00586,Visualización de Datos,04/24/2025,13.8,56.6%,6.14,MEX,Computador
EST00296,SQL Fundamentals,20/10/2025,18.2,29.5%,7.49,,Computador
EST00850,Python para Datos,11/06/2025,7.8,44.1%,6.29,Chile,computador
EST00400,Excel Avanzado,2025-11-06,27.1,79.5%,5.6,ECUADOR,computador
EST00778,Python para Datos,2025-05-05,16.3,69.3%,7.75,Ecuador,MOVIL
EST00771,SQL Fundamentals,2025-07-14,13.5,82.8%,8.68,ecuador,computador
EST00567,Visualización de Datos,2025-12-18,10.3,42.3%,8.99,ECUADOR,movil
EST00693,Estadística Aplicada,11/01/2025,14.6,72.5%,4.22,colombia,tablet
EST00733,Machine Learning Básico,09/29/2025,11.1,70.1%,8.34,Colombia,tablet
EST00703,Estadística Aplicada,2025-08-29,10.4,70.6%,7.87,ecuador,computador
EST00598,SQL Fundamentals,01/10/2025,8.4,97.2%,6.26,Colombia,computador
EST00566,Visualización de Datos,02/13/2025,15.9,89.8%,6.0,MEX,MOVIL
EST00520,Estadística Aplicada,19-04-2025,18.5,51.7%,5.43,chile,computador
EST00065,SQL Fundamentals,28-07-2025,2.6,76.8%,4.63,Perú,computador
EST00133,Estadística Aplicada,04/11/2025,,58.0%,5.47,Colombia,tablet
EST00608,SQL Fundamentals,12/10/2025,14.0,87.7%,8.16,MEX,MOVIL
EST00962,Python para Datos,02/22/2025,23.6,94.6%,8.18,Ecuador,Computador
EST00705,Excel Avanzado,28/11/2025,15.5,63.1%,11.11,Ecuador,Movil
EST00082,Visualización de Datos,05/18/2025,11.1,61.2%,7.49,México,tablet
EST00276,SQL Fundamentals,06/13/2025,18.0,64.1%,10.0,ECU,computador
EST00637,SQL Fundamentals,08-12-2025,18.7,60.5%,8.71,ECUADOR,movil
EST00116,Excel Avanzado,2025-11-09,12.5,44.2%,3.38,ECUADOR,MOVIL
EST00192,Machine Learning Básico,08-11-2025,19.2,49.8%,5.71,,Computador
EST00810,Python para Datos,10/05/2025,,36.6%,5.96,PER,computador
EST00770,Excel Avanzado,2025-12-30,10.1,75.8%,10.18,colombia,Movil
EST00335,Machine Learning Básico,12/01/2025,19.5,42.7%,7.62,Perú,Computador
EST00351,Visualización de Datos,08/21/2025,13.1,43.1%,8.54,mexico,Computador
EST00787,Estadística Aplicada,15-03-2025,22.7,74.0%,6.61,ECUADOR,MOVIL
EST00572,Visualización de Datos,20-03-2025,16.1,75.9%,7.36,Ecuador,Computador
EST00260,Excel Avanzado,2025-08-13,21.0,65.6%,6.67,PER,MOVIL
EST00502,Machine Learning Básico,21/08/2025,22.0,55.6%,,Ecuador,movil
EST00183,Visualización de Datos,01/15/2025,23.9,91.3%,6.84,CHI,movil
EST00834,Excel Avanzado,10/20/2025,10.1,51.4%,5.97,ECUADOR,Computador
EST00272,Visualización de Datos,15-12-2025,17.0,48.8%,8.32,CHILE,computador
EST00481,Python para Datos,25/02/2025,14.7,45.3%,6.92,peru,MOVIL
EST00612,SQL Fundamentals,02/06/2025,8.5,58.0%,8.15,CHILE,MOVIL
EST00542,Estadística Aplicada,02-01-2025,14.8,50.3%,7.04,Ecuador,Movil
EST00564,SQL Fundamentals,05/03/2025,4.6,86.0%,6.3,Ecuador,MOVIL
EST00720,Excel Avanzado,01/16/2025,6.5,49.9%,5.42,Chile,movil
EST00007,Python para Datos,26/11/2025,18.7,62.7%,5.74,ECU,computador
EST00890,Python para Datos,17-08-2025,22.3,52.1%,6.21, peru,Movil
EST00928,Excel Avanzado,03-09-2025,2.3,51.5%,8.83, Ecuador,
EST00421,SQL Fundamentals,01/11/2025,12.4,,,CHI,computador
EST00957,Estadística Aplicada,16/02/2025,21.1,66.0%,6.59,Colombia,MOVIL
EST00041,Visualización de Datos,15-02-2025,23.0,51.1%,6.66,CHILE,MOVIL
EST00436,Python para Datos,2025-01-22,19.0,64.1%,4.06,ECU,Computador
EST00470,SQL Fundamentals,06-05-2025,17.8,,9.21,MEX,Computador
EST00308,Machine Learning Básico,08-10-2025,6.0,54.2%,8.84,ECU,computador
EST00813,Machine Learning Básico,10/03/2025,19.9,45.8%,7.5,ECUADOR,movil
EST00018,Estadística Aplicada,08/10/2025,6.3,45.1%,7.6,Ecuador,Tablet
EST00573,Python para Datos,08/24/2025,14.7,50.5%,,ecuador,Tablet
EST00226,SQL Fundamentals,,8.3,66.7%,7.49,ecuador,Computador
EST00917,Visualización de Datos,04-07-2025,16.4,32.0%,7.64,Chile,computador
EST00300,Visualización de Datos,2025-08-14,20.8,60.9%,4.79,México,Movil
EST00919,SQL Fundamentals,04/20/2025,12.5,,5.21,ECU,movil
EST00887,SQL Fundamentals,02/09/2025,17.4,44.9%,4.7,Colombia,Movil
EST00568,Python para Datos,05-03-2025,18.5,54.6%,8.17,COL,movil
EST00391,Python para Datos,10/13/2025,16.9,,6.5,ecuador,
EST00759,Excel Avanzado,10/21/2025,13.7,57.4%,9.13,colombia,Computador
EST00500,Excel Avanzado,30/01/2025,14.8,46.1%,6.65,COL,MOVIL
EST00679,SQL Fundamentals,06-12-2025,9.7,49.4%,7.78, Ecuador,Computador
EST00713,Machine Learning Básico,2025-01-28,13.4,40.7%,4.88,Ecuador,Computador
EST00499,Python para Datos,20-03-2025,,41.6%,5.05,MEX,computador
EST00636,SQL Fundamentals,21-06-2025,20.6,58.9%,8.64,MEX,Tablet
EST00019,Excel Avanzado,2025-05-12,12.7,57.9%,8.11,México,computador
EST00965,Estadística Aplicada,03/01/2025,19.4,82.4%,8.66,mexico,computador
EST00716,SQL Fundamentals,02/04/2025,29.7,44.0%,5.44, Ecuador,computador
EST00918,SQL Fundamentals,03/07/2025,19.7,36.8%,9.51,México,Computador
EST00033,Estadística Aplicada,2025-12-07,24.5,62.6%,7.43, peru,Computador
EST00054,Machine Learning Básico,29-03-2025,12.2,66.0%,6.56,COL,Tablet
EST00215,Python para Datos,2025-07-26,8.1,62.7%,5.5, Ecuador,Movil
EST00126,Python para Datos,2025-03-29,14.0,77.5%,,PER,Computador
EST00640,Python para Datos,06/25/2025,9.3,,9.16,CHILE,computador
EST00775,Visualización de Datos,2025-07-20,26.7,83.1%,8.74,mexico,movil
EST00237,Estadística Aplicada,09/02/2025,,70.2%,8.27, Ecuador,tablet
EST00897,Excel Avanzado,02-10-2025,9.9,77.3%,8.88, Ecuador,Computador
EST00465,Visualización de Datos,2025-04-18,17.4,80.7%,6.93,COL,computador
EST00999,Estadística Aplicada,05-08-2025,9.8,44.4%,5.91,peru,Movil
EST00972,Machine Learning Básico,2025-12-13,15.8,92.0%,8.07,COL,Computador
EST00079,Visualización de Datos,09/12/2025,10.0,35.4%,5.67,,Tablet
EST00306,Machine Learning Básico,2025-06-22,10.8,33.0%,7.2,COLOMBIA,computador
EST00613,Machine Learning Básico,14/04/2025,6.2,70.1%,7.27,colombia,Movil
EST00043,Estadística Aplicada,19/08/2025,9.9,35.7%,,Peru,movil
EST00934,SQL Fundamentals,17/05/2025,8.9,97.1%,8.56,ECUADOR,Computador
EST00016,Visualización de Datos,2025-02-08,7.8,55.6%,7.02,ecuador,computador
EST00427,Visualización de Datos,05-11-2025,31.6,86.0%,8.27,Mexico,computador
EST00575,Machine Learning Básico,,21.4,100%,6.72,,MOVIL
EST00028,Visualización de Datos,2025-01-04,14.0,31.5%,6.27,chile,computador
EST00301,Excel Avanzado,28/02/2025,12.2,35.2%,7.08,ECUADOR,Computador
EST00358,Excel Avanzado,2025-10-02,20.4,59.3%,6.12,Colombia,MOVIL
EST00820,Excel Avanzado,05/11/2025,18.1,54.7%,8.14, peru,computador
EST00530,SQL Fundamentals,2025-11-28,20.9,47.7%,8.21,CHI,Movil
EST00026,Estadística Aplicada,11/04/2025,32.5,45.2%,3.8,ECUADOR,Computador
EST00417,Estadística Aplicada,2025-12-25,15.1,70.5%,7.69,peru,movil
EST00570,Estadística Aplicada,10/28/2025,16.4,97.3%,8.17,chile,computador
EST00975,Visualización de Datos,09/25/2025,236.2,100%,5.78,México,computador
EST00031,Python para Datos,,9.6,72.7%,6.77,Peru,Movil
EST00822,Python para Datos,2025-10-07,25.2,73.6%,6.52,PER,movil
EST00986,SQL Fundamentals,05/12/2025,11.0,,8.72, Ecuador,movil
EST00859,Excel Avanzado,06/07/2025,10.7,35.0%,6.71, Ecuador,MOVIL
EST00495,Excel Avanzado,2025-02-06,17.4,71.0%,6.83,Ecuador,Tablet
EST00479,Python para Datos,2025-06-12,10.4,51.3%,,Ecuador,movil
EST00772,Machine Learning Básico,06/01/2025,16.8,62.3%,6.82,Ecuador,computador
EST00267,Excel Avanzado,06/16/2025,28.8,100%,7.54,peru,movil
EST00135,Excel Avanzado,28-09-2025,19.6,42.6%,7.67,,computador
EST00106,Visualización de Datos,05/04/2025,191.7,47.0%,7.28,MEX,Movil
EST00008,Python para Datos,05/15/2025,18.9,75.9%,6.0,COLOMBIA,
EST00855,Excel Avanzado,08/10/2025,,82.7%,8.96,Perú,MOVIL
EST00126,Python para Datos,2025-03-29,14.0,77.5%,,PER,Computador
EST00344,Estadística Aplicada,2025-08-07,5.2,,6.31,ECUADOR,computador
EST00284,Estadística Aplicada,08-04-2025,17.4,50.5%,6.13,Perú,Movil
EST00373,SQL Fundamentals,05/23/2025,20.5,100%,,MEX,computador
EST00837,Machine Learning Básico,04/09/2025,0.5,77.8%,7.67,Colombia,MOVIL
EST00376,Estadística Aplicada,2025-11-26,4.1,43.1%,4.83,ECU,MOVIL
EST00892,Visualización de Datos,23-03-2025,9.6,100%,7.14,ECUADOR,Computador
EST00200,Visualización de Datos,06/14/2025,5.7,59.5%,6.11,PER,MOVIL
EST00579,Visualización de Datos,12-03-2025,,64.0%,7.82,ECUADOR,computador
EST00120,Python para Datos,30/12/2025,,68.3%,6.41,COLOMBIA,computador
EST00081,Python para Datos,09/16/2025,14.2,83.6%,6.09,ECUADOR,computador
EST00503,SQL Fundamentals,04/30/2025,8.7,57.1%,4.57,chile,Tablet
EST00823,Estadística Aplicada,13/11/2025,10.6,71.5%,4.94,ecuador,Movil
EST00212,Machine Learning Básico,26/12/2025,,65.0%,,PER,movil
EST00698,Python para Datos,12/12/2025,,63.0%,7.61,ecuador,movil
EST00988,Excel Avanzado,06/03/2025,11.2,70.7%,7.93,,computador
EST00835,Estadística Aplicada,29-05-2025,,74.2%,8.19,ECU,MOVIL
EST00958,Python para Datos,31-08-2025,13.1,33.3%,6.19,COLOMBIA,Computador
EST00682,Python para Datos,19-01-2025,16.7,78.9%,8.4,colombia,Computador
EST00320,Excel Avanzado,25/02/2025,11.5,55.2%,8.34,colombia,computador
EST00873,Estadística Aplicada,2025-08-06,24.6,72.4%,5.52,Peru,MOVIL
EST00259,Visualización de Datos,11/11/2025,5.6,92.4%,5.72,ECUADOR,Computador
EST00272,Visualización de Datos,15-12-2025,17.0,48.8%,8.32,CHILE,computador
EST00884,Machine Learning Básico,09/21/2025,,80.2%,6.02,CHI,Movil
EST00102,Excel Avanzado,21/08/2025,19.2,72.7%,7.83,Mexico,movil
EST00513,Visualización de Datos,26/04/2025,,99.5%,4.13,chile,Computador
EST00501,Machine Learning Básico,30-07-2025,23.4,78.0%,5.75,Ecuador,Tablet
EST00979,Estadística Aplicada,08/23/2025,7.9,75.1%,6.96,Peru,
EST00533,Excel Avanzado,2025-12-05,15.0,72.1%,9.92, peru,computador
EST00949,Python para Datos,03/01/2025,14.6,72.7%,5.38,ECUADOR,MOVIL
EST00829,SQL Fundamentals,06/03/2025,15.4,41.3%,6.65,COLOMBIA,computador
EST00387,Visualización de Datos,31-05-2025,15.4,69.3%,8.16,ECUADOR,tablet
EST00681,Estadística Aplicada,25/02/2025,181.0,47.8%,8.15,MEX,computador
EST00877,Visualización de Datos,2025-11-18,5.7,65.2%,9.97,Chile,tablet
EST00175,Machine Learning Básico,04/28/2025,0.5,0%,4.41,CHI,movil
EST00516,Python para Datos,20/06/2025,5.8,78.5%,5.45,colombia,movil
EST00954,SQL Fundamentals,08/08/2025,9.0,38.3%,7.57,ECU,computador
EST00333,Excel Avanzado,2025-02-09,13.4,80.4%,8.83,Peru,movil
EST00379,Machine Learning Básico,2025-01-06,13.4,53.5%,5.07,COL,Movil
EST00836,Excel Avanzado,15/06/2025,18.9,71.4%,6.66,ecuador,Movil
EST00517,SQL Fundamentals,07/19/2025,14.3,100%,4.5,PER,movil
EST00807,Machine Learning Básico,11/10/2025,14.5,54.3%,7.37,mexico,movil
EST00374,Machine Learning Básico,06-02-2025,19.0,67.0%,5.32, Ecuador,Computador
EST00731,Python para Datos,2025-03-02,17.6,46.8%,7.43, Ecuador,Computador
EST00660,Visualización de Datos,2025-09-22,23.4,100%,4.92,Chile,Computador
EST00371,Excel Avanzado,2025-07-03,12.1,55.1%,7.99,COL,MOVIL
EST00370,Machine Learning Básico,17-11-2025,7.0,76.3%,3.1,COL,Movil
EST00186,Machine Learning Básico,17/02/2025,199.0,93.8%,6.25,CHILE,Movil
EST00467,SQL Fundamentals,22-02-2025,12.4,72.8%,6.43,COLOMBIA,Movil
EST00832,Estadística Aplicada,15-03-2025,19.1,70.4%,4.22,COLOMBIA,Computador
EST00711,Machine Learning Básico,10-09-2025,16.9,70.9%,6.27,México,movil
EST00540,SQL Fundamentals,01-04-2025,19.5,58.4%,3.23,Chile,computador
EST00675,Visualización de Datos,26-12-2025,,76.2%,,Chile,movil
EST01000,Excel Avanzado,29/04/2025,3.9,77.5%,8.35,Mexico,MOVIL
EST00955,Visualización de Datos,09/20/2025,12.4,50.7%,5.83,ECUADOR,movil
EST00921,Excel Avanzado,27/04/2025,14.3,81.5%,,COL,movil
EST00548,Excel Avanzado,10/20/2025,24.8,,6.27,peru,computador
EST00793,Excel Avanzado,17-12-2025,17.8,29.6%,9.76,Perú,movil
EST00704,Machine Learning Básico,04/02/2025,14.0,63.2%,7.44, Ecuador,tablet
EST00789,SQL Fundamentals,29-09-2025,15.1,70.2%,10.14,Perú,computador
EST00561,Machine Learning Básico,08/09/2025,22.1,100%,,ecuador,tablet
EST00752,Python para Datos,01/11/2025,26.1,80.5%,,México,tablet
EST00777,Visualización de Datos,25/01/2025,14.5,65.6%,5.73,Perú,Movil
EST00683,Visualización de Datos,02/27/2025,14.4,,7.95,ecuador,tablet
EST00136,SQL Fundamentals,2025-05-01,18.3,70.6%,7.24,CHILE,computador
EST00677,Excel Avanzado,2025-12-16,19.3,26.2%,5.02,ecuador,Tablet
EST00369,Estadística Aplicada,2025-12-23,18.5,65.3%,5.82,Mexico,movil
EST00872,Estadística Aplicada,2025-08-20,20.1,54.1%,7.27, Ecuador,computador
EST00248,Visualización de Datos,12/15/2025,18.4,72.1%,9.87,México,computador
EST00357,Excel Avanzado,02-10-2025,16.5,51.9%,7.32,Perú,Movil
EST00936,Excel Avanzado,02-01-2025,13.9,65.2%,8.19,PER,movil
EST00615,Visualización de Datos,07/03/2025,,90.2%,6.21,ECUADOR,computador
EST00599,Estadística Aplicada,11-03-2025,14.8,48.6%,8.62,Ecuador,computador
EST00890,Python para Datos,17-08-2025,22.3,52.1%,6.21, peru,Movil
EST00577,Excel Avanzado,05/10/2025,14.3,69.8%,7.41,ecuador,MOVIL
