id_viaje,tipo_vehiculo,fecha_inicio,hora_inicio,duracion_minutos,distancia_km,costo,zona,edad_usuario,metodo_pago
VJ001111, Bicicleta,2025-06-04,07:16,14.7,2.29,2.34,Sur,30.0,Billetera digital
VJ001449,PATINETA,2025-08-24,07:51,9.4,2.23,1.81, Norte,32.0,efectivo
VJ000278,Bicicleta,2025-07-15,21:00,11.7,1.99,2.05,sur,25.0,Tarjeta
VJ002227,patineta,2025-06-29,15:57,25.7,3.7,3.45,centro,34.0,tarjeta
VJ002247,Bici,2025-06-09,09:59,2.7,0.6,0.56,SUR,28.0,TARJETA
VJ002164,Bici,2025-07-25,06:51,18.1,3.51,3.24,Centro ,23.0,BILLETERA DIGITAL
VJ000617,patineta,2025-07-05,15:22,19.8,4.41,2.45,NORTE,35.0,Billetera Digital
VJ000254,Bicicleta,2025-08-03,09:16,18.5,2.74,2.68,sur,34.0,TARJETA
VJ000103,Patineta,2025-06-30,19:13,11.1,2.82,2.43,sur,25.0,BILLETERA DIGITAL
VJ001110,Bicicleta,2025-06-03,07:52,14.0,2.45,2.06,Centro,38.0,TARJETA
VJ000924,patineta,2025-08-04,19:42,16.9,4.04,1.86, Norte,23.0,tarjeta
VJ002963,BICICLETA,2025-07-19,08:47,14.2,2.74,,Centro ,32.0,Billetera Digital
VJ002773, Patineta,2025-07-12,17:20,20.5,3.51,2.84,CENTRO,28.0,tarjeta
VJ002312,Patineta,2025-08-31,12:05,6.2,-2.0,1.0,CENTRO,22.0,TARJETA
VJ001268,Bici,2025-06-20,19:41,6.0,1.59,1.24,Samborondon,37.0,Billetera digital
VJ001577,Bici,2025-07-26,05:38,419.3,2.23,2.16, Norte,36.0,tarjeta
VJ000559,Patineta,2025-06-25,08:17,18.0,3.36,2.47,norte,24.0,EFECTIVO
VJ002462,Bicicleta,2025-08-12,14:13,20.0,4.45,2.89,SAMBORONDON,25.0,Billetera digital
VJ000518, Bicicleta,2025-08-17,07:31,5.6,1.18,1.09,Samborondon,19.0,tarjeta
VJ001055,Scooter,2025-06-25,19:21,9.8,2.36,1.63,Centro,20.0,tarjeta
VJ000776,Bicicleta,2025-06-05,18:30,7.6,1.76,1.99,CENTRO,27.0,Efectivo
VJ002250,Scooter,2025-08-16,07:49,9.2,2.23,1.67,sur,30.0,efectivo
VJ001696, Bicicleta,2025-07-01,15:48,18.8,3.65,2.77,Norte,,billetera digital
VJ000398, Patineta,2025-06-27,22:46,19.6,3.16,2.1, Norte,35.0,TARJETA
VJ001517,Bicicleta,2025-08-14,08:37,3.4,0.81,0.84,Samborondon,17.0,Efectivo
VJ001053,BICICLETA,2025-08-28,19:38,13.0,2.92,1.99,NORTE,32.0,efectivo
VJ000479, Patineta,2025-07-09,17:51,15.4,4.08,2.76,CENTRO,25.0,billetera digital
VJ002810, Bicicleta,2025-08-12,18:41,24.2,4.31,2.72,Norte,30.0,Tarjeta
VJ002129,BICICLETA,2025-06-08,01:52,7.9,1.4,1.16,NORTE,16.0,tarjeta
VJ000425, Patineta,2025-07-14,12:19,13.4,2.69,2.4, Norte,27.0,Tarjeta
VJ002869,Bicicleta,2025-06-01,20:41,17.2,4.15,2.43,Samborondon,33.0,Billetera Digital
VJ002006,patineta,2025-08-25,07:48,19.7,4.77,3.08,CENTRO,39.0,TARJETA
VJ002205,BICICLETA,2025-06-04,07:48,4.7,0.98,0.68,Samborondón,45.0,TARJETA
VJ001720, Bicicleta,2025-07-04,19:53,24.9,3.48,3.44,Centro ,36.0,TARJETA
VJ002574,Scooter,2025-07-15,21:37,15.2,3.46,2.19,CENTRO,27.0,tarjeta
VJ002564, Patineta,2025-08-15,12:24,1.0,0.1,0.66,NORTE,26.0,efectivo
VJ002526,patineta,2025-07-28,20:01,16.6,3.02,2.65,norte,20.0,
VJ000191,BICICLETA,2025-08-05,08:34,4.8,1.09,1.55,Samborondon,26.0,BILLETERA DIGITAL
VJ000730,Bici,2025-06-28,14:44,11.8,2.48,1.8,sur,35.0,Tarjeta
VJ002753,bicicleta,2025-06-02,10:01,13.0,2.14,1.61,CENTRO,16.0,Tarjeta
VJ001020,Scooter,2025-06-14,17:09,12.1,2.16,1.71,Samborondón,41.0,Efectivo
VJ000997,Scooter,2025-07-03,08:04,7.6,1.99,0.86,Norte,16.0,TARJETA
VJ000138,Scooter,2025-08-25,07:02,16.0,4.02,2.76,CENTRO,35.0,tarjeta
VJ001522,patineta,2025-08-05,12:33,1.2,0.19,0.3,centro,36.0,Tarjeta
VJ002483,patineta,2025-07-20,18:33,14.5,3.31,2.1,,31.0,tarjeta
VJ002518,Bicicleta,2025-07-03,12:22,8.4,1.82,0.92,Norte,37.0,TARJETA
VJ000082,bicicleta,2025-07-28,16:04,16.2,3.81,2.62,Centro ,28.0,TARJETA
VJ000179,Bici,2025-06-24,01:44,13.1,2.9,1.77,Sur,,efectivo
VJ002418,Bici,2025-07-09,22:51,17.9,3.2,2.77,Sur,26.0,efectivo
VJ000591,Bicicleta,2025-08-07,07:24,25.9,4.22,3.48,Norte,40.0,BILLETERA DIGITAL
VJ002809,patineta,2025-08-14,07:33,18.2,3.64,2.89,norte,35.0,EFECTIVO
VJ001748,Scooter,2025-06-08,21:46,19.4,2.96,2.64,sur,22.0,Tarjeta
VJ002644,patineta,2025-08-20,18:30,-5.0,0.87,1.06,NORTE,23.0,Tarjeta
VJ002198,BICICLETA,2025-07-23,17:42,11.6,2.83,2.37,,28.0,efectivo
VJ002748,bicicleta,2025-08-12,20:41,6.2,1.32,1.76, Norte,24.0,Efectivo
VJ001697,Bici,2025-06-25,20:28,25.2,3.59,3.33,Centro,46.0,TARJETA
VJ000088,Bicicleta,2025-06-23,09:38,11.2,2.51,1.6,sur,36.0,BILLETERA DIGITAL
VJ002396,Patineta,2025-06-28,20:28,10.5,1.47,1.68,Sur,38.0,Tarjeta
VJ000152,patineta,2025-08-02,16:51,4.1,0.81,1.61,NORTE,27.0,tarjeta
VJ000369, Bicicleta,2025-06-04,19:56,15.5,3.4,93.78,SAMBORONDON,31.0,Tarjeta
VJ000196, Patineta,2025-08-15,09:36,18.4,3.97,2.72,CENTRO,27.0,Tarjeta
VJ000839,Scooter,2025-06-20,10:25,5.1,1.0,1.45,norte,,TARJETA
VJ000237,Bici,2025-07-17,09:22,10.9,2.77,1.61, Norte,,tarjeta
VJ000186, Patineta,2025-07-18,17:29,25.3,4.98,3.81,Norte,27.0,tarjeta
VJ000806,Bicicleta,2025-08-27,12:54,11.3,1.99,1.41,CENTRO,24.0,tarjeta
VJ002182,bicicleta,2025-06-16,15:23,17.6,-2.0,2.42,Norte,39.0,Tarjeta
VJ000964,PATINETA,2025-06-30,19:10,24.3,5.05,3.57,centro,25.0,TARJETA
VJ000105,BICICLETA,2025-08-02,16:27,16.4,3.73,2.3,NORTE,28.0,efectivo
VJ000550,BICICLETA,2025-08-22,18:46,12.1,1.62,1.99,CENTRO,24.0,billetera digital
VJ001693,patineta,2025-08-26,15:51,13.5,2.48,2.21,Samborondón,33.0,Billetera Digital
VJ002100,PATINETA,2025-07-24,08:54,14.8,2.14,1.67,samborondon,20.0,billetera digital
VJ000958,Bicicleta,2025-08-21,07:27,10.6,2.35,1.66,NORTE,42.0,EFECTIVO
VJ000885,patineta,2025-06-06,12:55,401.0,3.42,3.07,norte,,tarjeta
VJ002064,PATINETA,2025-07-13,12:44,9.7,2.22,1.62,centro,32.0,Tarjeta
VJ002348, Patineta,2025-07-23,18:15,7.0,1.28,1.04,Centro,35.0,BILLETERA DIGITAL
VJ000541,Bicicleta,2025-07-20,06:09,20.1,2.93,2.89,CENTRO,25.0,Tarjeta
VJ002802,BICICLETA,2025-06-09,14:46,12.3,3.02,2.0,samborondon,21.0,tarjeta
VJ001145,PATINETA,2025-06-15,19:18,13.7,1.83,2.05,CENTRO,,TARJETA
VJ002112,Patineta,2025-08-16,12:02,9.2,1.98,1.46,centro,29.0,Efectivo
VJ002658,Bicicleta,2025-07-04,13:55,13.7,3.37,2.37,Centro ,34.0,EFECTIVO
VJ001554,Scooter,2025-06-15,08:32,13.5,2.32,1.75,Samborondon,34.0,TARJETA
VJ001157,Patineta,2025-08-11,18:38,12.4,2.89,1.84,SAMBORONDON,34.0,billetera digital
VJ000446,BICICLETA,2025-07-20,14:45,27.8,5.11,4.07,Centro ,,Billetera Digital
VJ000551,Bici,2025-08-17,09:06,13.6,2.67,2.07,Centro,20.0,TARJETA
VJ002905,Bicicleta,2025-07-23,18:07,7.3,1.67,1.3,Centro,40.0,Billetera Digital
VJ000896, Bicicleta,2025-06-25,14:13,8.6,1.72,, Norte,31.0,tarjeta
VJ001837,Bici,2025-07-31,08:33,14.4,3.68,2.98,,17.0,tarjeta
VJ000672,BICICLETA,2025-07-07,07:05,4.0,0.67,0.89,norte,39.0,Tarjeta
VJ002924,PATINETA,2025-07-23,17:06,14.3,3.2,2.36,sur,32.0,efectivo
VJ000486,PATINETA,2025-07-27,20:07,15.5,2.59,2.64,sur,26.0,billetera digital
VJ002546,Bicicleta,2025-06-03,21:33,16.3,4.02,,centro,33.0,Billetera Digital
VJ000828,Bicicleta,2025-07-11,17:58,3.2,0.48,0.54,Samborondón,40.0,tarjeta
VJ001076,Bicicleta,2025-06-03,06:06,10.8,2.66,1.54,Norte,17.0,efectivo
VJ000976,Bicicleta,2025-07-07,21:55,4.0,0.91,0.73, Norte,16.0,Tarjeta
VJ002144,Bici,2025-07-31,06:10,11.9,1.83,2.12,sur,48.0,Billetera digital
VJ000488,Bicicleta,2025-06-24,12:55,11.2,1.93,,centro,28.0,TARJETA
VJ001509,Scooter,2025-08-03,20:06,19.3,3.74,3.02,samborondon,34.0,Billetera Digital
VJ001754,Bicicleta,2025-06-18,23:51,13.5,3.43,2.35,Sur,34.0,TARJETA
VJ000323,Scooter,2025-07-28,04:58,19.3,4.06,3.14,centro,30.0,tarjeta
VJ001760,BICICLETA,2025-06-26,05:58,-1.2,0.1,0.47,sur,39.0,Tarjeta
VJ000768,BICICLETA,2025-07-27,21:41,4.0,0.85,,sur,29.0,Efectivo
VJ001559,Scooter,2025-07-25,07:47,7.1,1.45,1.43,Centro,21.0,EFECTIVO
VJ001440,Patineta,2025-06-17,14:11,8.3,1.74,1.53,samborondon,20.0,billetera digital
VJ001973, Bicicleta,2025-08-09,15:54,2.4,0.6,0.97,SUR,29.0,Billetera digital
VJ000707,Patineta,2025-06-19,19:46,18.7,3.79,2.68,Centro,16.0,Tarjeta
VJ000988,BICICLETA,2025-08-03,19:49,10.2,2.49,160.21,NORTE,43.0,Efectivo
VJ002557, Patineta,2025-06-25,18:36,21.7,3.23,,samborondon,26.0,BILLETERA DIGITAL
VJ002850,Bicicleta,2025-06-01,17:22,19.5,4.12,2.98, Norte,24.0,EFECTIVO
VJ000045,Scooter,2025-07-22,08:31,16.7,3.52,2.47,Centro ,34.0,Billetera Digital
VJ001963, Bicicleta,2025-08-09,14:22,22.2,-2.0,3.26,Centro,43.0,BILLETERA DIGITAL
VJ002082,Scooter,2025-07-03,10:23,4.2,1.08,0.95,Sur,28.0,EFECTIVO
VJ001752,PATINETA,2025-07-27,09:05,3.3,0.79,1.11,CENTRO,36.0,TARJETA
VJ001528, Bicicleta,2025-07-22,22:47,5.2,0.86,1.2, Norte,39.0,BILLETERA DIGITAL
VJ002861, Bicicleta,2025-06-15,20:13,6.9,1.13,1.65,Norte,,tarjeta
VJ000187,Patineta,2025-08-05,19:36,3.3,0.75,0.34,NORTE,27.0,billetera digital
VJ001059,PATINETA,2025-08-01,11:05,12.9,3.04,2.42,norte,18.0,EFECTIVO
VJ002947, Patineta,2025-07-14,16:43,11.3,2.3,1.66,CENTRO,30.0,
VJ000618,Bicicleta,2025-08-22,17:56,21.2,3.35,3.09,CENTRO,34.0,efectivo
VJ002463,Bicicleta,2025-06-27,08:08,7.4,1.84,232.32,Samborondón,22.0,TARJETA
VJ000442, Bicicleta,2025-08-25,21:19,13.0,3.27,2.44,Sur,20.0,EFECTIVO
VJ000049,patineta,2025-07-17,19:02,15.6,2.17,2.39,Norte,26.0,tarjeta
VJ000498,bicicleta,2025-08-07,19:02,4.8,-2.0,1.12,CENTRO,31.0,tarjeta
VJ002569, Bicicleta,2025-08-06,06:38,6.1,1.1,1.19,NORTE,34.0,Tarjeta
VJ000316,Bici,2025-08-07,07:36,21.1,4.51,3.05,samborondon,16.0,Efectivo
VJ000539,patineta,2025-07-29,13:22,1.0,0.1,0.78,,28.0,TARJETA
VJ000912,PATINETA,2025-08-05,22:39,18.0,4.15,2.54,samborondon,35.0,Efectivo
VJ001180,bicicleta,2025-06-07,19:07,10.7,1.9,1.78,SAMBORONDON,,tarjeta
VJ001741,bicicleta,2025-06-11,07:12,18.6,4.56,3.16, Norte,26.0,Billetera Digital
VJ000947,patineta,2025-08-06,08:07,8.7,2.1,1.0,Centro,16.0,Billetera digital
VJ000814,BICICLETA,2025-06-26,11:21,11.0,2.0,1.94,Centro ,26.0,Tarjeta
VJ001019,BICICLETA,2025-06-24,17:19,14.0,2.17,2.21,Sur,17.0,Billetera digital
VJ000857,Bicicleta,2025-08-29,10:35,9.8,2.21,1.82,Sur,27.0,Tarjeta
